112.0		1188.0
104.648374037		956.069088902
97.8054137843		769.580419984
91.4423308239		619.69426605
85.5333626002		499.314974617
80.055765381		402.755826727
74.9898051886		325.470806403
70.3187196416		263.839652564
66.0286089772		214.993790444
62.1081976143		176.670305712
58.5483933411		147.079432451
55.3415695994		124.771476633
52.4805227838		108.500289627
49.957126724		97.1081874217
47.7608234047		89.4795857817
45.8772240164		84.5820051659
44.28718065		81.5455971975
42.9666480562		79.7110457417
41.8874589375		78.621870087
41.0188552615		77.9824106361
